Phase,Fraction,Guess for r
0.9580078125,20/21,21
0.744140625,3/4,4
0.3662109375,7/19,19
0.5966796875,3/5,5
0.37109375,7/19,19
0.380859375,8/21,21
0.8935546875,17/19,19
0.2294921875,3/13,13
0.8447265625,11/13,13
0.9892578125,1/1,1
0.4931640625,1/2,2
0.810546875,17/21,21
0.96484375,20/21,21
0.748046875,3/4,4
0.8837890625,15/17,17
0.2666015625,4/15,15
0.7822265625,11/14,14
0.0595703125,1/17,17
0.4189453125,8/19,19
0.39453125,2/5,5
0.427734375,3/7,7
0.8056640625,17/21,21
0.6728515625,2/3,3
0.0673828125,1/15,15
0.4677734375,7/15,15
0.865234375,13/15,15
0.9013671875,9/10,10
0.4951171875,1/2,2
0.3466796875,7/20,20
0.5302734375,9/17,17
0.53125,9/17,17
0.8564453125,6/7,7
0.671875,2/3,3
0.1904296875,4/21,21
0.6552734375,13/20,20
0.1083984375,1/9,9
0.16796875,1/6,6
0.23046875,3/13,13
0.9423828125,16/17,17
0.3642578125,4/11,11
0.02734375,1/21,21
0.5849609375,7/12,12
0.5908203125,10/17,17
0.0126953125,0/1,1
0.2880859375,2/7,7
0.609375,11/18,18
0.1396484375,1/7,7
0.193359375,4/21,21
0.8720703125,7/8,8
0.1181640625,2/17,17
0.8955078125,17/19,19
0.3525390625,6/17,17
0.8505859375,17/20,20
0.2041015625,1/5,5
0.00390625,0/1,1
0.5458984375,6/11,11
0.2392578125,5/21,21
0.8076171875,17/21,21
0.8271484375,14/17,17
0.1533203125,2/13,13
0.826171875,14/17,17
0.9052734375,19/21,21
0.95703125,20/21,21
0.7841796875,11/14,14
0.92578125,12/13,13
0.2822265625,2/7,7
0.6044921875,3/5,5
0.71484375,5/7,7
0.9208984375,12/13,13
0.1943359375,4/21,21
0.05078125,1/20,20
0.8349609375,5/6,6
0.6103515625,11/18,18
0.33984375,1/3,3
0.7353515625,14/19,19
0.099609375,1/10,10
0.7587890625,16/21,21
0.2705078125,3/11,11
0.642578125,9/14,14
0.974609375,20/21,21
